group	n
1_PFBS_0.1	2
1_PFBS_1	9
1_PFBS_10	9
1_PFBS_100	158
1_PFBS_2	108
1_PFBS_50	58
1_PFDS_0.1	1
1_PFDS_1	7
1_PFDS_10	104
1_PFDS_100	302
1_PFDS_2	32
1_PFDS_20	115
1_PFDS_50	265
1_PFOA_0.1	9
1_PFOA_0.2	68
1_PFOA_1	11
1_PFOA_10	129
1_PFOA_100	658
1_PFOA_2	26
1_PFOA_20	94
1_PFOA_50	311
1_PFOS_0.02	1
1_PFOS_0.1	106
1_PFOS_0.2	7
1_PFOS_1	8
1_PFOS_10	294
1_PFOS_2	81
1_PFOS_20	472
10_PFBS_0.02	2
10_PFBS_0.1	1
10_PFBS_1	1
10_PFBS_100	123
10_PFBS_2	2
10_PFBS_20	7
10_PFBS_50	83
10_PFDS_0.1	33
10_PFDS_1	74
10_PFDS_10	212
10_PFDS_100	283
10_PFDS_2	55
10_PFDS_20	234
10_PFDS_50	352
10_PFOA_0.02	19
10_PFOA_0.1	7
10_PFOA_0.2	2
10_PFOA_1	4
10_PFOA_10	123
10_PFOA_2	11
10_PFOA_20	173
10_PFOA_50	795
10_PFOS_0.02	3
10_PFOS_0.1	9
10_PFOS_0.2	4
10_PFOS_1	6
10_PFOS_10	252
10_PFOS_2	85
10_PFOS_20	675
14_PFBS_10	4
14_PFBS_100	120
14_PFBS_20	6
14_PFBS_50	2
14_PFDS_0.02	1
14_PFDS_0.1	2
14_PFDS_0.2	1
14_PFDS_1	5
14_PFDS_10	258
14_PFDS_100	513
14_PFDS_2	156
14_PFDS_20	245
14_PFDS_50	239
14_PFOA_0.02	3
14_PFOA_0.1	1
14_PFOA_0.2	5
14_PFOA_1	5
14_PFOA_10	93
14_PFOA_2	9
14_PFOA_20	141
14_PFOS_0.2	8
14_PFOS_1	9
14_PFOS_10	376
14_PFOS_2	14
14_PFOS_20	559
4_PFBS_0.02	7
4_PFBS_0.1	2
4_PFBS_1	15
4_PFBS_10	3
4_PFBS_100	160
4_PFBS_50	25
4_PFDS_0.1	3
4_PFDS_1	3
4_PFDS_10	363
4_PFDS_100	447
4_PFDS_2	7
4_PFDS_20	340
4_PFDS_50	299
4_PFOA_0.02	1
4_PFOA_0.2	19
4_PFOA_1	32
4_PFOA_10	34
4_PFOA_100	1046
4_PFOA_2	18
4_PFOA_20	90
4_PFOA_50	279
4_PFOS_0.1	3
4_PFOS_0.2	8
4_PFOS_1	26
4_PFOS_10	352
4_PFOS_2	60
4_PFOS_20	476
