probeName	baseMean	pvalue	padj	FC	signFCPosPadjFilter	signFCNegPadjFilter	MedianFilterOut	myfileName	entrezID	geneSymbol
HMGCR_3029	530.217559683449	5.67635330503291e-24	1.17727567546382e-20	-3.62541186700345	0	1	0	PFDS50vsDMSO.txt	3156	HMGCR
TNFSF10_17292	185.375811061143	1.18503885004329e-20	1.22888528749489e-17	-5.07035241394896	0	1	0	PFDS50vsDMSO.txt	8743	TNFSF10
INSIG1_3385	2197.62510661123	2.53935028780734e-20	1.75553749897081e-17	-7.84381103351256	0	1	0	PFDS50vsDMSO.txt	3638	INSIG1
ACAT2_56	727.9213399773	5.05888063126934e-16	2.62302960731315e-13	-2.14432952685852	0	1	0	PFDS50vsDMSO.txt	39	ACAT2
MSMO1_4315	3506.69681817258	7.48231379856895e-16	3.1036637636464e-13	-2.79496653694777	0	1	0	PFDS50vsDMSO.txt	6307	MSMO1
IDI1_12170	2857.51598848933	2.26721435613535e-15	7.83700429104118e-13	-3.40467955497459	0	1	0	PFDS50vsDMSO.txt	3422	IDI1
CYP51A1_1742	2446.9164694963	8.4178046014941e-14	2.49407524907125e-11	-2.26285124098057	0	1	0	PFDS50vsDMSO.txt	1595	CYP51A1
PANK3_16409	934.027396745216	7.51733764514167e-13	1.94886978450298e-10	-1.69142102833311	0	1	0	PFDS50vsDMSO.txt	79646	PANK3
LDLR_19353	249.054538529619	1.08928546163346e-12	2.51019783047533e-10	-3.53038411531988	0	1	0	PFDS50vsDMSO.txt	3949	LDLR
ABCC2_22	2632.65779128157	1.89300484663559e-12	3.92609205192222e-10	2.19522620243498	1	0	0	PFDS50vsDMSO.txt	1244	ABCC2
LSS_14888	182.158784951443	4.89194393478161e-12	9.22353792794278e-10	-3.39284279641154	0	1	0	PFDS50vsDMSO.txt	4047	LSS
FASN_11197	1705.24986675519	3.00250512165852e-11	5.18932968526647e-09	-3.03731990600543	0	1	0	PFDS50vsDMSO.txt	2194	FASN
HIST2H2AA4_2963	525.287675261783	3.28727539414015e-11	5.24446859034359e-09	-2.24939437773957	0	1	0	PFDS50vsDMSO.txt	8337	HIST2H2AA4
HSP90AA1_3127	1886.02083847313	2.00406856501226e-10	2.96888443131102e-08	1.73062486856011	1	0	0	PFDS50vsDMSO.txt	3320	HSP90AA1
SAT1_17598	4560.97798647014	1.35672469793981e-09	1.87589801568477e-07	-1.85233168225208	0	1	0	PFDS50vsDMSO.txt	6303	SAT1
MLLT11_4193	27.9880663163633	1.50373075856494e-09	1.9492109957898e-07	5.32436111785537	1	0	0	PFDS50vsDMSO.txt	10962	MLLT11
IFITM3_17816	16667.3053358128	2.45336152235163e-09	2.99310105726899e-07	-1.79146809617612	0	1	0	PFDS50vsDMSO.txt	10410	IFITM3
CYP2E1_1722	8501.72268018456	2.96700999493716e-09	3.41865484972204e-07	-1.81543423113899	0	1	0	PFDS50vsDMSO.txt	1571	CYP2E1
GCLM_25908	782.704986981907	3.60820540637269e-09	3.93864105937734e-07	1.80441750380847	1	0	0	PFDS50vsDMSO.txt	2730	GCLM
EBP_2015	1391.22709008613	6.72413933111964e-09	6.97293248637107e-07	-1.76267841551537	0	1	0	PFDS50vsDMSO.txt	10682	EBP
HIST1H2BC_28172	1623.59199748731	7.46970656682042e-09	7.37722448551693e-07	-1.55963525026706	0	1	0	PFDS50vsDMSO.txt	1544	HIST1H2BC
HIST2H2AA4_2964	873.63526440031	9.19715895335857e-09	8.67041257693894e-07	-1.80676883478531	0	1	0	PFDS50vsDMSO.txt	8337	HIST2H2AA4
STAP2_6820	495.508020561923	2.00681424653637e-08	1.80962293361584e-06	-1.74836613671303	0	1	0	PFDS50vsDMSO.txt	55620	STAP2
HIST1H2AK_20840	949.675151708724	2.44876999312435e-08	2.11614540239162e-06	-1.6993774620167	0	1	0	PFDS50vsDMSO.txt	8336	HIST1H2AK
TCEAL9_11904	219.053154272396	4.11704851799071e-08	3.41550345052509e-06	2.04641158206906	1	0	0	PFDS50vsDMSO.txt	51186	TCEAL9
SLC1A2_24387	109.801385185936	7.82469079610508e-08	6.24169565812382e-06	-3.76873082793506	0	1	0	PFDS50vsDMSO.txt	6506	SLC1A2
PEG10_18691	174.904486996144	9.11180847184084e-08	6.99921880392515e-06	8.6540273277157	1	0	0	PFDS50vsDMSO.txt	23089	PEG10
COPB2_1491	323.940471468043	9.91228885809356e-08	7.34217396131645e-06	1.51657129096443	1	0	0	PFDS50vsDMSO.txt	9276	COPB2
TXNRD1_7440	404.0981643796	1.06230350442786e-07	7.59730161442548e-06	2.34206415623818	1	0	0	PFDS50vsDMSO.txt	7296	TXNRD1
TMEM97_7217	718.968264270599	1.27328563070268e-07	8.80264799359121e-06	-2.019384474055	0	1	0	PFDS50vsDMSO.txt	27346	TMEM97
YWHAZ_7817	825.168329387583	1.36777097921395e-07	9.15082906738625e-06	1.58691126268667	1	0	0	PFDS50vsDMSO.txt	#N/A	YWHAZ
UBE2Q2_7491	127.102520684884	4.03016415538864e-07	2.61205014321126e-05	2.10663181160073	1	0	0	PFDS50vsDMSO.txt	92912	UBE2Q2
ABCC2_26620	1544.65978968346	5.492313810123e-07	3.45183601278639e-05	1.90271406667136	1	0	0	PFDS50vsDMSO.txt	1244	ABCC2
SAT1_6103	10026.036418158	8.9608976590215e-07	5.46614757200312e-05	-1.58207878497108	0	1	0	PFDS50vsDMSO.txt	6303	SAT1
ELOVL6_2134	45.2408966973983	1.07085027253189e-06	6.34555275780329e-05	-3.77858994739535	0	1	0	PFDS50vsDMSO.txt	79071	ELOVL6
SHB_27848	739.491400900066	1.23059304171554e-06	7.08958324588343e-05	1.68969772025806	1	0	0	PFDS50vsDMSO.txt	6461	SHB
SMC4_6586	105.243522359096	1.51846349836029e-06	8.51160350161958e-05	2.39311893632302	1	0	0	PFDS50vsDMSO.txt	10051	SMC4
IFITM1_3226	180.415237881052	1.60716557488644e-06	8.77174053240649e-05	-3.74742870162834	0	1	0	PFDS50vsDMSO.txt	8519	IFITM1
