probeName	baseMean	pvalue	padj	FC	signFCPosPadjFilter	signFCNegPadjFilter	MedianFilterOut	myfileName	entrezID	geneSymbol
SLC2A2_6439	1948.49677860626	1.90905945185917e-169	3.98038895712638e-166	-24.7169781275339	0	1	0	PFOA50vsDMSO.txt	6514	SLC2A2
HPR_3094	2288.24968602054	6.38147883414218e-164	6.65269168459322e-161	-15.2629973805131	0	1	0	PFOA50vsDMSO.txt	3250	HPR
HP_3085	3149.41551937598	1.63282406979354e-160	1.13481272850651e-157	-15.0258126558544	0	1	0	PFOA50vsDMSO.txt	3240	HP
FGG_23945	3106.82490820593	1.44670276794982e-146	7.54093817793844e-144	-15.6762599013509	0	1	0	PFOA50vsDMSO.txt	2266	FGG
FGB_2397	4489.46621579226	1.90406789870539e-108	7.93996313760146e-106	-12.053391758708	0	1	0	PFOA50vsDMSO.txt	2244	FGB
SLC10A1_19648	394.53599283213	3.4342586157678e-94	1.19340486897931e-91	-78.5175060476258	0	1	0	PFOA50vsDMSO.txt	6554	SLC10A1
CFHR1_28694	10214.0836371221	6.34022093607327e-93	1.88848009310182e-90	-5.01980750479295	0	1	0	PFOA50vsDMSO.txt	3078	CFHR1
TTR_7397	123919.595400689	2.304551639423e-86	6.00623771024621e-84	-5.52043351048508	0	1	0	PFOA50vsDMSO.txt	7276	TTR
SAA1_22122	3432.78592487261	9.60887262515023e-85	2.22605549149314e-82	-48.3100671251611	0	1	0	PFOA50vsDMSO.txt	6288	SAA1
PLIN2_21957	14804.6688418652	1.30658637975573e-80	2.7242326017907e-78	6.09544597373742	1	0	0	PFOA50vsDMSO.txt	123	PLIN2
FMO3_14602	2168.08815266223	2.46798706363754e-65	4.67795729789479e-63	-5.94692708512824	0	1	0	PFOA50vsDMSO.txt	2328	FMO3
ADH1A_126	11818.6142294097	7.62472005808169e-65	1.32479511009169e-62	-5.00587401914458	0	1	0	PFOA50vsDMSO.txt	124	ADH1A
DPYS_16757	2304.92562559986	1.2625240806359e-58	2.02489439086604e-56	-4.95383364479347	0	1	0	PFOA50vsDMSO.txt	1807	DPYS
GHR_2644	889.355783628347	2.54842226917791e-58	3.79532887945424e-56	-8.94718354348692	0	1	0	PFOA50vsDMSO.txt	2690	GHR
GGH_2639	933.582682597398	2.81751641928858e-56	3.91634782281112e-54	-5.85263658007706	0	1	0	PFOA50vsDMSO.txt	8836	GGH
C1S_20607	13237.511350125	3.77288527128841e-54	4.9165411191477e-52	-3.56435378759098	0	1	0	PFOA50vsDMSO.txt	716	C1S
GDF15_18329	1060.54433147328	7.65793382809623e-54	9.39223060681215e-52	25.631207059124	1	0	0	PFOA50vsDMSO.txt	9518	GDF15
SLC22A1_19293	385.344465519541	3.60939963604722e-50	4.18088791175469e-48	-10.0679026731082	0	1	0	PFOA50vsDMSO.txt	6580	SLC22A1
FMO5_11213	300.446605719764	1.14594560808369e-48	1.25752452255499e-46	-15.358713214276	0	1	0	PFOA50vsDMSO.txt	2330	FMO5
TRIB3_7337	1621.053781169	3.53124909696878e-48	3.68132718358995e-46	7.223994691595	1	0	0	PFOA50vsDMSO.txt	57761	TRIB3
GCLM_25908	724.018314955247	8.225713354037e-48	8.16695825865102e-46	5.90685357899517	1	0	0	PFOA50vsDMSO.txt	2730	GCLM
CYP2A6_28673	2554.6088167636	6.14341367745683e-46	5.82228068977159e-44	-15.3932902339758	0	1	0	PFOA50vsDMSO.txt	1548	CYP2A6
GCLM_2615	607.855225315452	1.74862861152683e-45	1.58516985001454e-43	4.83755601959867	1	0	0	PFOA50vsDMSO.txt	2730	GCLM
C1R_871	3818.0846552417	2.52346503213646e-45	2.19226024666855e-43	-4.78787548804863	0	1	0	PFOA50vsDMSO.txt	715	C1R
IFITM2_11682	7614.30519107066	1.10915528250172e-43	9.25035505606438e-42	-3.21611142990449	0	1	0	PFOA50vsDMSO.txt	10581	IFITM2
ALB_217	85126.267245829	1.98300000178223e-43	1.59021346296767e-41	-3.31768817663766	0	1	0	PFOA50vsDMSO.txt	213	ALB
CFH_27007	5959.41829951388	4.12027401204121e-43	3.18176715374293e-41	-3.12252543305433	0	1	0	PFOA50vsDMSO.txt	3075	CFH
IFITM3_17816	18693.524401594	2.24639930731838e-42	1.6727651984853e-40	-3.44773175208142	0	1	0	PFOA50vsDMSO.txt	10410	IFITM3
SGK2_10628	108.277081555405	2.85935140978613e-42	2.05577506531175e-40	9.2092382512085	1	0	0	PFOA50vsDMSO.txt	10110	SGK2
FN1_2459	5828.6560775853	4.13547949390882e-42	2.87415824826663e-40	-4.40762703337341	0	1	0	PFOA50vsDMSO.txt	2335	FN1
UGT2B7_7548	931.32341236617	2.72257888410854e-40	1.83115386237623e-38	-9.20980132823193	0	1	0	PFOA50vsDMSO.txt	7364	UGT2B7
VEGFA_28053	668.021002700629	1.67705833917991e-39	1.09270832412191e-37	7.30586811428917	1	0	0	PFOA50vsDMSO.txt	7422	VEGFA
UGT2B7_21389	6889.82587488561	4.47668202532088e-39	2.82844909781638e-37	-4.24913591691308	0	1	0	PFOA50vsDMSO.txt	7364	UGT2B7
FN1_13666	3261.06977347466	5.67782777702221e-39	3.48184438679156e-37	-4.41642239812479	0	1	0	PFOA50vsDMSO.txt	2335	FN1
