group	geneSymbol
1_PFBS_0.1	PPP2R5A
1_PFBS_0.1	RABGGTB
1_PFBS_100	FABP1
1_PFBS_100	ACAA1
1_PFBS_100	APOE
1_PFBS_100	GGT1
1_PFBS_100	HIST1H2BK
1_PFBS_100	PIK3AP1
1_PFBS_100	ADAM10
1_PFBS_100	VTN
1_PFBS_100	NR1D1
1_PFBS_100	CYP2C8
1_PFBS_100	SLC22A1
1_PFBS_100	SLC13A5
1_PFBS_100	SGK2
1_PFBS_100	ACSL5
1_PFBS_100	SCOC
1_PFBS_100	C1R
1_PFBS_100	CLU
1_PFBS_100	DYNLL1
1_PFBS_100	KRT7
1_PFBS_100	PSME1
1_PFBS_100	RPS6
1_PFBS_100	SLC27A2
1_PFBS_100	SOD2
1_PFBS_100	HACD3
1_PFBS_100	SLC25A4
1_PFBS_100	IFITM3
1_PFBS_100	SPTAN1
1_PFBS_100	HSP90AB1
1_PFBS_100	RARA
1_PFBS_100	RPL13AP5
1_PFBS_100	RPLP0
1_PFBS_100	TMEM167A
1_PFBS_100	CYP2E1
1_PFBS_100	HIST1H2BD
1_PFBS_100	PSMA7
1_PFBS_100	UQCRQ
1_PFBS_100	DYNLT3
1_PFBS_100	UGT1A9
1_PFBS_100	PLIN2
1_PFBS_100	PGM1
1_PFBS_100	TOMM70
1_PFBS_100	CASK
1_PFBS_100	G0S2
1_PFBS_100	CFHR1
1_PFBS_100	ATP6V1D
1_PFBS_100	RPL4
1_PFBS_100	NGRN
1_PFBS_100	COMT
1_PFBS_100	DAAM1
1_PFBS_100	TPI1
1_PFBS_100	TMEM5
1_PFBS_100	PEBP1
1_PFBS_100	DHDDS
1_PFBS_100	RHEB
1_PFBS_100	ORM2
1_PFBS_100	CREG1
1_PFBS_100	APP
1_PFBS_100	PSAP
1_PFBS_100	PRSS2
1_PFBS_100	SENP6
1_PFBS_100	NIPSNAP1
1_PFBS_100	POP5
1_PFBS_100	RPL35
1_PFBS_100	ALAS1
1_PFBS_100	MAST2
1_PFBS_100	BAMBI
1_PFBS_100	CYP4A22
